description,variety,country,price,points
"The crisp nose conjures up shades of green: meadow and fresh apple peel, fresh foliage and lime, but also some honey and oatmeal. The palate remains crisp but has a toned lithe note of pure lemon that sings. This is taut, shows backbone and rounds itself out wonderfully on the palate, finishing with harmonious notes of apple and shortbread.",Sparkling Blend,England,75.0,91
"Smooth, ripe and rounded, it's ready to drink with its light perfume and spice. Rich pear and quince fruits add freshness to the fullness. Drink now.",Pinot Blanc,France,18.0,87
"The Nashville-based R.S. Lipman Company, formerly just a Tennessee distributor, comes west for this deal of a wine, with lime blossoms, pink grapefruit and Gala apple slices on the nose. The palate is clean, crisp and rounded with lime spritzer and green-apple flavors.",Chardonnay,US,15.0,88
"Popcorn, butter-fried apples, seared mandarins, marzipan and a touch of marshmallow show on the very ripe and oily nose of this bottling. The palate is thick with walnut oil, apricot, condensed jasmine and savory salts, right up the alley of those who love big Chardonnays, but not for people seeking fresher expressions.",Chardonnay,US,29.0,90
"Aromas recall yellow flower, stone fruit and Mediterranean brush. The bright palate doles out yellow peach and citrus zest alongside crisp acidity.",Vermentino,Italy,16.0,87
"A bottling commemorating the winery's 10th anniversary, this Merlot and Cabernet-dominant blend offers aromas of barrel spices, dried herbs and Red Vines. The red-fruit flavors are supple in feel with a reserved styling.",Bordeaux-style Red Blend,US,42.0,89
"A fragrant, fresh rosé that is full of red fruits and tight acidity. Crisp and bright, it makes a delicious summer refresher. Drink now.",Rosé,France,30.0,86
"On first whiff, you may not be convinced that this Tempranillo-Cabernet blend is up to snuff. The nose has carob, rubbery oak, creamy vanilla and cookie aromas along with jammy berry. The palate is capped with tannins and feels rubbery, while flavors of milk chocolate, baked cherry and rubber finish with blackened flavors of barbecue. For $10 it's pretty good, but don't expect a miracle.",Tempranillo-Cabernet Sauvignon,Spain,10.0,85
"This is on its last legs. It smells maderized, flat and candied, then feels heavy and drying. It tastes and smells old, finishing bitter.",Rosé,Spain,10.0,80
"This brings a lively mix of green citrus and green banana, with a light streak of white peach. All in all, it's balanced and fresh, though it falls on the lighter side, despite the generous finished alcohol.",Pinot Gris,US,20.0,88
"Made in a full-bodied style with a density of firm tannins, this wine offers a mix of ripe black cherry and black licorice notes, the core succulent and strong.",Pinot Noir,US,50.0,90
"The blend is 71% Marsanne, 20% Viognier and 9% Roussanne. The result is a medium-bodied white that offers straightforward, fruity notes of pear and melon. It's clean and refreshing on the finish, with just a little hint of tannin.",Rhône-style White Blend,Australia,30.0,88
"Made entirely from Sangiovese, this bright wine opens with a lovely fragrance of blue flower, tilled soil, red berry and a hint of vanilla. The juicy palate delivers sour cherry and raspberry along with cinnamon-spice notes that add interest. Bracing but fine tannins accompany everything to the finish. A delicious, vibrant and uncomplicated wine that calls out for a hearty dish of pasta.",Sangiovese,Italy,23.0,89
"Saucy aromas shadow cassis and plum scents. This feels big and chunky, but the flavors are not fully ripe and are instead slightly green and mulchy. A stewed character spills over onto the finish.",Cabernet Sauvignon,Argentina,17.0,85
"This is wonderfully complex and aromatic, with scents ranging from baking spices and savory beef to mixed berries. That swirl of seeming contradictions continues on the palate, backed by luxurious, supple tannins that linger softly on the finish. Drink now–2025.",Shiraz,Australia,60.0,95
"Concentrated, with white fruits, a strong streak of herbaceousness, green apples and a rich texture. The wine shows intensity as well as youth. It really needs another year before drinking.",Sauvignon Blanc,France,21.0,88
"This Bordeaux-style blend is Baer's top wine. A bright bouquet of violet, berry, pepper and stone greets you at first sniff, and it gets better and better from there. Dark fruits weave through a supple and striated flavor palette, long and detailed.",Bordeaux-style Red Blend,US,43.0,93
"Fresh and enticing aromas of blackberry, raspberry, cedar and green olive are abundant in this Bordeaux-style blend. The palate is bursting with jammy berries, molasses, cedar and vanilla. The tannins are supple but smooth and are a matched well for the rich body. The finish is long and full of depth.",Bordeaux-style Red Blend,US,50.0,89
"This is dry, silky and enormously complex, with flavors of raspberry, cherry, cola, new oak and spice that satisfy through the long finish. The mountain vineyard concentrated the fruit, yielding savory power. It's a beautiful Pinot Noir to drink now with steaks or lamb chops.",Pinot Noir,US,55.0,92
"Exotic spice, plum, French oak and underbrush aromas lead the nose while the juicy palate offers espresso, raspberry jam and a hint of star anise. It's chewy, with close-grained tannins.",Red Blend,Italy,17.0,88
"This is a ripe, earthy, modern-leaning Rioja with aromas of blackberry, raisin and rubber. Soft and fleshy on the palate, what this easygoing number lacks in structure is made up for in charm. Ultraripe flavors of plum and berry come with a chocolaty accent, while the finish is smooth and tastes earthy and spicy. Drink through 2019.",Tempranillo Blend,Spain,32.0,90
"This lush, concentrated Viognier combines cool-weather weight with summertime echoes of apricots and honey. Hints of toasty oak provide an ample frame for this full-bodied wine that avoids any sense of oiliness or heaviness while remaining bold, rich and long. Drink now–2020.",Viognier,France,124.0,95
"The two white grapes of the coastal Bairrada region in central Portugal are blended to give a ripe, crisp and creamy wine. Fragrant Maria Gomes is known as Fernão Pires in other parts of Portugal. Its acidity fits perfectly into this smooth textured wine that is ready to drink.",Maria Gomes-Bical,Portugal,25.0,86
"Sour blackberry and smoked meat aromas greet the nose on this bottling from a small, relatively unknown appellation in Monterey County. The flavors are a tad flat, with some sour cherries and tar.",Cabernet Sauvignon,US,15.0,83
"Made of 80% Sangiovese and 20% Cabernet Sauvignon, this opens with violet and underbrush aromas. The palate is easygoing, offering juicy red plum and ripe raspberry flavors with a blanket of smooth tannins. Enjoy soon.",Red Blend,Italy,12.0,88
"Leathery and jammy smelling at first, then it settles on solid berry fruit and spice. Runs full and tannic in the mouth, with lightly herbal tasting berry and plum flavors. Shows some oak and ample spice on the finish. Plump, full and generous.",Tempranillo,Spain,19.0,88
"Accurate varietal character abounds in this value red. There’s dark berry and a slight herbaceousness, but not in an off-putting way. Light in style but it possesses nice mouthfeel with smooth cassis fruit and a decent finish.",Cabernet Sauvignon,France,7.0,85
"Created in 1819, this vineyard surrounds a Victorian château overlooking the Loire. This wine is fruity, fresh and soft. It has attractive acidity, a light texture and perfumed acidity set in the context of apple and lime fruits. Drink now.",Sauvignon Blanc,France,18.0,85
"Protos is a venerable RDD label that doesn't try to do too much with its wines. This youngster is tight, polished and deep, with rich, oily aromas and creamy, saturated blackberry, plum and chocolate flavors. With spice and depth, it shows how good the 2005 vintage is, even for a big-production joven like this.",Tempranillo,Spain,13.0,89
"Dry, silky and complex, this Pinot is as good as WesMar's more costly single-vineyard Pinots, which makes it a great value. It shows great structural integrity, with crisp acids and fine tannins that house exotic flavors of cherry compote, Dr. Pepper cola, orange zest, Canadian bacon and Asian spices. Now–2013.",Pinot Noir,US,35.0,93
"Deep and sultry aromas of black fruit, mineral and toast mix with licorice gum drop and leather to form a good bouquet. The palate, however, runs more sharp than expected, with high acidity propelling lean, narrow pie-cherry flavors. A bit hollow but fresh and pure. Starts better than it ends. 70% Malbec and 30% Corvina.",Red Blend,Argentina,17.0,87
"From the up-and-coming Chianti Rufina area (an historic wine zone that is currently experiencing a revival of sorts) comes this plush and modern Riserva. The nose generously delivers aromas of black cherry, powdered chocolate and sweet spice.",Sangiovese,Italy,34.0,88
"This sparkler is sweet but attractive and balanced, with a lovely lychee, peach and rose water aromatic profile. The carbonation is not overly assertive, and the acidity is brisk enough to keep the finish from coming off as cloyingly sweet.",Sparkling Blend,South Africa,11.0,84
"Made from Merlot, Cabernet Sauvignon and Cabernet Franc grown in the warm Happy Canyon region of the valley, this shows the greatness of the 2007 vintage. It's ready to drink, bearing soft, gentle tannins that frame flavors of blackberry and cherry jam, chocolate, vanilla and sweet, smoky oak.",Merlot,US,42.0,92
"Smashed black currant, licorice, dill and a bit of smoked beef show on the nose of this well-priced bottling. Black plum and black cherry mesh with oregano and thyme on the palate, which is rich, a tiny bit sweet and will please many crowds.",Cabernet Sauvignon,US,22.0,86
"Nozze d'Oro (dedicated to the producer's wife on their 50th wedding anniversary) offers fragrant, herbaceous qualities that recall cut grass, tomato leaf and exotic fruit (the blend is 80-20 Insolia and Sauvignon Blanc). The wine is aromatic and generous and boasts firm texture and a crisp close. Pair it with raw fish or Japanese dishes.",White Blend,Italy,35.0,88
"Pineapple, sulfur and matchstick, and finally some woody toast steer the bouquet. The palate is big and blowsy, with toasty baked apple and pineapple flavors. Finishes sweet, with honey and a sprinkle of white pepper. Yet another sweet, resiny, basic Chardonnay from Chile.",Chardonnay,Chile,11.0,84
"Still wrapped up tight, as are most of the 2014s from Elk Cove, this offers juicy fruit flavors of pomegranate and raspberry, supported by fresh acidity that promises some years of aging potential. This harmonious, flavorful wine should be drunk from 2018–2030.",Pinot Noir,US,60.0,92
"Smooth and spicy, matching bright, tight, sweet-tart lemony fruit to nicely integrated barrel notes of sandalwood and graham cracker. The sleek structure, balanced for cellaring as well as immediate enjoyment.",Chardonnay,US,25.0,92
"This is a bit rustic, with dry oak scents and cheesy aromas that fade with airing. Choppy in the mouth, this Tempranillo shows bright acidity and leanness. Flavors of red berries and plum finish with a touch of roughness and bitterness.",Tempranillo,Spain,10.0,85
"An 84% Cabernet Sauvignon with 12% Cabernet Franc and 4% Malbec, it reveals a plethora of oak nestled around dried cranberry, bittersweet chocolate and cigar. Medium bodied, it benefits from additional time in the glass.",Cabernet Sauvignon,US,26.0,83
"The first mouthful reveals a wine that is just plain opulent and rich. Only on the second taste do dense tannins push their way in, a structure that is concentrated, dry and tight. The fruit flavors are also forward, strawberry juice touched with cranberry juice dryness. This could age well, give it 4–5 years.",Pinot Noir,France,65.0,92
"Mouth-filling and firm in texture, this medium-bodied wine has plenty of black cherry, prune and spicy chocolate aromas and flavors. Blended from Cabernet Sauvgnon, Petite Verdot and Syrah, it has an appropriately tannic texture that melts on the finish and echoes the chocolate and spice notes.",Red Blend,US,16.0,88
"The entrance of violets and black cherry is offset by volatility and lingering scents and flavors of nail polish through the wine's mid-palate. It finishes with earthy, rough tannins",Syrah,US,20.0,83
"Fresh plum, blackberry, loamy earth and tobacco leaf elements shine on the nose of this bottling from the Uvas Canyon area between Morgan Hill and Gilroy. It's straightforward on the palate with decent acidity and a light body presenting plum paste, anise and cedar flavors.",Cabernet Sauvignon,US,28.0,87
"Fresh, crisp and minerally on the nose, this has green apple and melon aromas. It feels fresh, juicy, light and refreshing, with high-toned white-fruit flavors as well as notes of grapefruit, herb and lime. Clean on the finish.",Verdejo,Spain,13.0,86
"This smoky wood-aged wine shows tannins as well as black fruits. It has a fine structure that balances with the fruitiness. Produced in the Entre-deux-Mers, the wine has a spicy, fresh aftertaste.",Bordeaux-style Red Blend,France,15.0,88
"This wine feels hard with bitter extraction that detracts from its fruitiness. There is a very dense texture that could soften over time, although bitterness could remain a problem.",Bordeaux-style Red Blend,France,7.0,84
"This is an earthy, minty, tart and taut wine, worthy of its appellation. It offers light-bodied notions of black tea, cranberry and rhubarb.",Pinot Noir,US,28.0,86
"This just off-dry bubbly marches to the beat of a different drummer. The underlying aromas are of lime, but there’s something strong and earthy that suggests dust, warm tree bark, or acrid honey. That penetrating flavor follows through in the mouth, where it turns a little sweet. But crisp acidity and good bubbles keep things balanced and cheerful.",Champagne Blend,Spain,13.0,85
"Full-flavored and textured, probably from the use of a Sauvignon Musque Clone for half of the wine, this is nonetheless a light wine, subtle in stone fruit, kiwi and lemon-lime. The acidity has an electricity and bubbliness that almost make it come alive. It's the right wine for fresh-shucked oysters.",Sauvignon Blanc,US,20.0,90
"Enticing floral aromas of fragrant blue flower mingle with whiffs of fresh berry. On the easy-drinking savory palate, notes of white pepper and orange zest accent a core of wild cherry while supple tannins lend soft support. Drink through 2017.",Sangiovese,Italy,23.0,88
"Vanilla is the lead flavor on this generic, oaky Chardonnay. Creamy and a tad soft in the mouth, it has flavors of resiny oak that blend with pear, melon and vanilla on the palate. Popcorn notes come up on a woody finish.",Chardonnay,Chile,24.0,85
"Medium bodied and restrained on the palate, this wine offers a mix of caramelized lemon and Gravenstein apple. It ends lengthy with tastes of ginger and lemongrass that leave a refreshing finish.",Chardonnay,US,24.0,90
Simple fruit and citrus flavors segue to soft layers of creamy mousse and tangerine. This playful Italian sparkler would taste great next to toasted bread with smoked salmon appetizers or grilled shrimp.,Glera,Italy,16.0,86
"This is a pretty good Cab, as far as it goes. It tastes a bit sharp, with very ripe blackberry and currant flavors that have a baked fruit quality. Doesn't seem like an ager, so drink now.",Cabernet Sauvignon,US,42.0,85
"Direct, woody aromas of cherry, raspberry and minerally crispness set up a medium-bodied palate housing round tannins. Ripe, loamy flavors of mixed berries exhibit a touch of raisin, which carries over to a peppery, blackened finish.",Cabernet Sauvignon,Chile,17.0,88
"This approachable sparkler is doughy and nicely balanced: a soft easygoing exploration of citrus, green apple and vanilla wafer that finishes dry.",Sparkling Blend,US,22.0,90
"A Pannobile blend is one that is tasted and approved by a group of producers in Gols, on the north shore of Lake Neusiedl. This firmly tannic wine is a good example of the style—solid, rich, more than the sum of its parts, giving big black berry fruits as well as vibrant juiciness.",Austrian Red Blend,Austria,35.0,90
"Crisp and tightly fruity, this wine is bright and suffused with a lively streak of acidity. It dances with fruitiness and just a touch of spice. Drink this wine now.",Sauvignon Blanc,France,7.0,86
"This is a nice Sauvignon Blanc for drinking now with ethnic fare, from Mexican to Vietnamese and Ethiopian. Its acidic citrus flavors will brighten and heighten richly sauced chicken dishes, .",Sauvignon Blanc,US,13.0,86
"Showing the ripeness of the vintage, this is a smooth, lightly textured wine, with plenty of yellow and citrus fruits. The wine needs a few months, so drink from late 2017.",Bordeaux-style White Blend,France,10.0,84
"Dominated by the local Mourvèdre grapes, this is a ripe and complex wine. Its acidity is integrated with rich yellow fruits, spice and perfume. The wine is floral, poised and very stylish. Drink from late 2017.",Rosé,France,52.0,93
"This Bordeaux-style blend is mostly Cabernet Sauvignon, with small percentages of Cabernet Franc, Malbec and Merlot. It's high-toned, and it comes with a pungency that brightens the highly extracted, sweet-tasting berry fruit. It has lots of appeal, but you must like wines that have a volatile edge.",Bordeaux-style Red Blend,US,42.0,90
"Though aromatically subdued, there's an intensity of tangerine and lime zest flavor in this dry, invigorating Malvasia. The midpalate is marked by elegant white-flower notes that linger on the slightly astringent lime-pith finish.",Malvasia Istriana,Croatia,16.0,87
"This Pinot is all about fruit, which is both its strength and its limitation. Raspberries, strawberries, persimmons are there, alongside caramelized, buttery oak. The finish is tannic and dry. Drink by 2016, after decanting.",Pinot Noir,US,46.0,87
"In its first couple of vintages, Le Sol was almost Australian in character, but it is now taking a more perfumed and elegant tack, with this '07 featuring hints of rhubarb and cracked pepper on the nose, and dark berry fruit matched by savory notes of coffee and black olives on the palate. It's creamy in texture, yet without excess weight, and finishes long. Drink now–2020.",Syrah,New Zealand,90.0,91
"Just 10% of this wine was aged in new oak, with the balance aged in stainless steel. Still, that touch of oak is evident in the form of sweet vanilla and buttered toast. The fruit itself is ripe, with lusciously ripe oranges, melons, apricots and limes.",Sauvignon Blanc,US,28.0,87
"Dense aromas of smoked black plum, rustic leather and smoked meats show on this super Tuscan blend of Sangiovese, Merlot, Cabernet Sauvignon, Cabernet Franc and Petite Sirah. Dried blueberries, fudge, beef char and very tarry elements show on the palate.",Red Blend,US,50.0,87
"Creamy oak aromas shout “vanilla” and “wood resin” in full voice. This is a rough wine with stampeding tannins. Toasty boysenberry flavors are more pounding than elegant, while this tastes of bitter chocolate on an aggressive finish. Give this five years and it may show better but now it's massive and unsettled.",Tempranillo,Spain,110.0,90
Light pink in the glass with soft aromas and flavors of strawberry and blueberry. Delicate and refreshing; a great choice for hot summer days.,Rosé,France,16.0,84
"Still fresh, this is a crisp, herbaceous wine. It has layers of grapefruit, lime and bitter orange flavors along with a more steely texture. It's ready to drink.",Sauvignon Blanc,France,30.0,86
"Here's a structured Rosso that offers aromas of underbrush, black plum, berry and orange zest. Bright red cherry takes center stage on the palate, while notes of mint, Mediterranean herbs and sweet spices add interest. It's tannic but shy on fresh acidity so enjoy now.",Sangiovese,Italy,22.0,88
"The nose is a pleasant harmony of dark, ripe fruit, espresso grinds and carefully charred French oak. Coffee and cigar box notes carry through the palate as well, marrying with fresher red-fruit flavors. There's quite a bit of tannin to grapple with still, but overall, it's a pleasant medium-bodied red.",Merlot,US,17.0,86
"This savory white opens with aromas of exotic fruit, apricot, hay and a whiff of wild flower that follow through to the palate along with grapefruit and a vegetal note. A mineral accent lifts the finish.",Garganega,Italy,14.0,88
"Light black raspberry and purple-flower aromas show on the somewhat shy nose of this bottling from the Jackson Family's longtime Santa Maria Valley winery. Well-woven flavors of black raspberry, dark cranberry, thyme and bay leaf appear on the sip, which is light and easy albeit not very complex.",Pinot Noir,US,25.0,87
"Alluring notes of Asian five spice and wet stone frame ripe cherry aromas in this medium-bodied wine. The texture is firm, becoming faintly dusty on the finish, but the wine is approachable now for its cherry fruit and appealing damp clay quality. Drink now–2018.",Pinot Noir,New Zealand,50.0,91
"A Grenache-driven blend with 28% Syrah and 9% Mourvèdre, this is a substantial, concentrated wine generous in leather, pipe tobacco and blackberry pie, accented teasingly in clove. With a big, meaty presence and long, grippy finish, it should stand the test of cellaring, through 2020.",G-S-M,US,36.0,90
"A crisp nose is trimmed with light citrus and chewing gum notes. Hollow on the palate, this deals dilute citrus and nectarine flavors in front of a quickly fading finish.",Rosé,Spain,24.0,83
"A touch sharp with prominent acidity and soft tannins in the mouth. Tart dried cherry, raspberry and plum fill palate, with a clean, medium-length finish sealing the experience. Drink now.",Shiraz,South Africa,15.0,86
"The aromas seem a bit muddled, with notes of red fruit, herbs, vanilla and flowers. The cherry flavors are tart, with a kick of acidity on the finish.",Syrah,US,36.0,88
"Lightly herbal, scented with tart pear and tasting the same, this organically grown estate wine is King Estate's best Pinot Gris. Their signature bottling sets a good standard for the grape in Oregon; this elevates it with more detail, density and personality. The alcohol is a sensible 13%, allowing subtle green fruit and herb grace notes to emerge.",Pinot Gris,US,25.0,89
"Does just what you want a Cab at this price to do, offering soft, immediate pleasure with extra points for complex elegance. You'll find cassis, cherry, sage and cedar flavors wrapped into ripely sweet tannins, with a finish of authority.",Cabernet Sauvignon,US,24.0,88
"The Rough Justice Red is a tasty, big-boned, chunky red blend, with plenty of cherry fruit flavor, a substantial tannic bite, and a chewy, drying finish that lingers as if demanding a grilled steak.",Red Blend,US,20.0,89
"This is a gorgeous expression of Sauvignon that boasts enormous focus and precision in terms of its aromatic delivery. It has notes of citrus, almond, tomato leaf, dried basil and exotic fruit. The mouthfeel is solid in structure and refreshingly crisp on the finish.",Sauvignon,Italy,42.0,91
"Big and flavorful, this full-bodied wine boasts butter, toast and smoke nuances layered over ripe pear and marzipan flavors. Fermented in stainless steel but aged in French oak, it has a rich texture and overt sweetness without going to extremes.",Chardonnay,US,20.0,88
"Certified French organic with this vintage, this 100% Merlot is ripe, full-bodied and already showing its potential richness. Terroir-driven black fruits and generous tannins give a warm character to the wine that is then backed by black fruits and final acidity. This is a generous wine from the Verdier family, ready to age. Drink from 2018.",Bordeaux-style Red Blend,France,18.0,89
"Tramin presents this fresh, easy-drinking Chardonnay that boasts coolclimate aromas of stone fruit, white flower and citrus. It's zesty and clean in the mouth and perfect for seafood salad.",Chardonnay,Italy,13.0,86
"Co-fermented with Viognier from the same vineyard, this is a lovely counterpoint to the big, bruising Barrister Bacchus Vineyard Syrah. Violets and chocolate dominate, with wild herb and cured meat flavors through the midpalate. Tannins are chewy and textured, with some stem and bark flavors.",Syrah,US,23.0,88
"Part of a trio of Best Buy wines from this producer in 2010, this easy Pinot Grigio delivers the goods in a cheerful, no-fuss package. Crisp lemon is backed by peach and pear.",Pinot Grigio,Italy,10.0,85
"Close to the Listrac vineyards and with the same ownership as Cap Léon Veyrin, this estate is on some of the same limestone soil as that appellation. The wine is structured and tight with firm tannins. The 55% of Merlot does suggest a juicy character although this will take time to develop and fill out. Drink from 2020.",Bordeaux-style Red Blend,France,17.0,88
"Hints of smoke and wet stone combine with sweet Granny Smith apple and stonefruit aromas on the nose of this inviting dry Riesling. Smoke seeps through on the palate as well, melding with brighter flavors like orange peel and underripe tangerine, making for a refreshing yet deeply compelling sip.",Riesling,US,16.0,87
"From a great Douro vintage, this is a ripe wine, packed with generous fruit and concentrated tannins. Berry flavors and juicy acidity dominate a wine that has plenty of power while keeping elegance and stylishness. Drink now.",Portuguese Red,Portugal,23.0,93
"The top wine from Château Chambert is huge and densely concentrated. It has a solid, black fruited feel to it along its immense tannins. It's richness has given its structure a sweeter almost jammy finish. The wine will certainly age many years.",Malbec,France,70.0,92
"It's bit harsh in texture and is minty, with wintergreen and pepper flavors that nudge into cherries and mocha. Good for barbecue and cheese plates.",Zinfandel,US,20.0,84
"There's a sugary taste to this blend of French Columbard and Muscat that makes it pretty much a dessert wine. The orange, honeysuckle and white peach flavors are balanced with a crisp streak of green apple acidity.",White Blend,US,13.0,85
"On the slopes above the eastern Bordeaux town of Sainte-Foy, this vineyard produces some fine wines. Aged in new wood, the wine is rich in tannins, complex and serious. Bright red fruits and a firm structure both promise aging. Drink from 2018.",Bordeaux-style Red Blend,France,20.0,88
"A secret of Santa Rita Hills is how kind the terroir is to Pinot Grigio AKA Pinot Gris. Babcock expresses its crisply acidic, long hangtime varietal flavors in an unoaked way, with splendid citrus and tropical fruit flavors, girded by a steely minerality. The wine, by the way, is dry, although it has a honeyed richness.",Pinot Gris,US,23.0,88
"Having endured up to 8 months of oak aging, this offers modern touches of chocolate, spice and espresso bean that sit behind fresh aromas of black cherry and plum. The medium finish shows depth and length.","Corvina, Rondinella, Molinara",Italy,25.0,88
Ripe butterscotch and a notable flank of big vanilla and oak greet the entry of this vineyard-designate. It makes for a luxurious wine reflective of a warm vintage and approach.,Chardonnay,US,38.0,87
"A somewhat rustic wine, edgy in tannins and not quite ripe yet jammy at the same time, with olive, herb, blackberry and oak flavors. The spices are the nicest part.",Zinfandel,US,35.0,85
"This is a very big Zinfandel, exuberant and lush in fruit. It floods the palate with blackberries, cherries, mulberries, plums and currants, complexed with smoky oak and spices. Fine now with steak fajitas or a juicy cheeseburger.",Zinfandel,US,36.0,87
"Made from a field blend of old vines to which some Tinta Roriz added, this powerful, ripe and fruity wine is both concentrated and superbly generous. It has swathes of black fruits, dark tannins and minerality, all striated with acidity and a firm black plum skin texture. This is a wine to age, drink from 2019.",Portuguese Red,Portugal,110.0,94
"An enormously elegant, complex Pinot Noir that changes endlessly in the glass and is a joy to drink. Completely dry, and marked by silky tannins, it shows complicated cherry, rhubarb, pomegranate, cola, orange tea and sandalwood flavors. First class. Best now and for the next four or five years.",Pinot Noir,US,70.0,94
"Despite the huge weight of fruit and accompanying structure, this is a stylish wine. It's impressively dense, concentrated and solid. At the same time, the juicy black fruits give a generous, full-in-the-mouth character. Drink this very fine wine from 2022.",Bordeaux-style Red Blend,France,135.0,94
"With 17% Cabernet Franc added in, this wine is leathery, rustic and tightly tannic, with a sizable presence of oak. Soft, it finishes in a thickness of black cherry and stewy plum.",Cabernet Sauvignon,US,54.0,86
"Savory, mature aromas of woodspice and earthy berry fruits form the greeting on this gran reserva that's more lively than subdued or silky. Spicy, oaky berry flavors have a ripe, rooty component, while there's just enough pop to a bold, baked, chocolaty finish. Drink through 2026.",Tempranillo Blend,Spain,35.0,91
"Densely tannic, this is a dark, rich, intense wine. The mature dusty tannins are balanced by acidity, black currant fruitiness and finished with a dry core. It's ready to drink.",Portuguese Red,Portugal,20.0,88
"This wine is soft and creamy, with a layer of herbal fruitiness. As the name indicates, the grapes come from near two seas (mers): Sauvignon Blanc from the Atlantic and Viognier from the Mediterranean. The combination is refreshing and attractively, with a balance of crisp fruit and a soft texture.",White Blend,France,12.0,85
"Oak is front and center on this high-priced affair from Freixenet. And that's the primary problem with what is otherwise a commendable and solid wine. Vanilla and resin aromas and flavors push the fruit to the side, and what's left is a slick of butter, sawdust and tannic astringency. Not a bust, but for nearly a hundred bucks we want more than just wood. Imported by Freixenet USA.",Tempranillo Blend,Spain,95.0,87
"Citric smelling, with clipped aromas of berry fruits. Choppy tannins, heat and raisiny, sweet, cooked berry flavors and stemmy notes finish herbal tasting but full in feel.",Cabernet Sauvignon,Argentina,12.0,83
"This is labeled as dry, which sums up this crisp and fruity wine. Delicious, refreshing acidity is gently spiced and layered with green apples and quince flavors. It's ready to drink.",Pinot Gris,France,24.0,85
"Aromas of ripe plum, roasted coffee bean and espresso come together in the glass. A blend of 80% Sangiovese and 20% Merlot, the firm palate offers dried black cherry, espresso, toasted oak and grilled herb alongside assertive but fine-grained tannins.",Red Blend,Italy,29.0,90
"Heady scents of pressed jasmine, honey and candied orange waft out of the glass. The concentrated but elegant palate provides layers of mature apricot, lemon drop and ginger brightened by fresh acidity. It's vibrant and well balanced, with a persistent finish.",Kerner,Italy,30.0,93
"Laser strikes of acidity and deep, mineral intensitiy lend a grounded elegance to this otherwise sunny, yielding dessert wine. It's intensely honeyed, bursting with sweet pineapple and peach flavors, yet finely filigreed in mouthfeel. Delicious already, it should improve through 2040.",Riesling,Germany,64.0,94
"Aromas of bresaola and baked cherry are backed by a fresh tone of blackberry. On the palate, this crisp, fresh blend of Cabernet Sauvignon, Syrah and Merlot offers light spice and tobacco notes.",Red Blend,Italy,19.0,89
"Citrus and red-fruit aromas make for an attractive, perfumed wine. On the palate, a fresh character comes from the red currant and raspberry fruits. It is light and bright with a tight, mineral aftertaste.",Rosé,France,11.0,88
"After starting out quite reduced on first pour, this wine reveals slightly sweet black-fruit flavors. A light grip of tannins provide support.",Merlot,US,12.0,85
"Reticent aromas of dried blueberry and hibiscus lead onto the medium-bodied palate, which is structured with chalky tannins. It finishes with astringent texture.",Merlot,US,18.0,82
"This creamy, fresh wine opens with orchard fruit, citrus and banana scents. The medium-bodied palate delivers white peach and nectarine flavors, with bright acidity that leaves a tangy finish.",Turbiana,Italy,16.0,88
The California style of sweetly ripe fruit and softness is the star of this Syrah. It's fantastically rich in milk chocolate and black cherry jam flavors. The alcohol is a heady 16.6% by volume.,Syrah,US,75.0,86
"Firm, hard and tight, this offers black cherry flavors with some peach-pit phenolics. It's sharp and edgy, definitely on the herbal side, with a hint of stem.",Merlot,US,16.0,87
"The Alvarinho grape, more at home in northern Portugal, makes a fine wine in the Alentejo hill country northeast of Lisbon. Here the flavors are tropical: ripe pineapple, a touch of spice and just the right amount of acidity. The wine will be better from 2017.",Alvarinho,Portugal,14.0,88
"This impressive Rosso delivers a silky and smooth texture, with aromas of bright fruit backed by toasted nut and spice. The balance and overall harmony of the mouthfeel are what set this wine apart.",Sangiovese Grosso,Italy,21.0,90
"A solid, well-made example of Columbia Valley Syrah, this shows mixed boysenberry and raspberry fruit flavors that are accented lightly with peppery spice. It's a modest wine in terms of volume and density, but proportionate and true to variety.",Syrah,US,35.0,89
"Toasted bread crust, pressed yellow flower and yellow stone fruit aromas lead the way while the linear, slightly lean palate offers yellow apple skin and citrus notes. Bright acidity lends freshness while bitter almond colors the finish.",Friulano,Italy,20.0,87
"This opens with aromas of chamomile flower, crushed tomato vine and cut grass. The vibrant elegant palate delivers white peach, grapefruit, chopped herb and lemon zest alongside racy acidity.",Sauvignon,Italy,30.0,91
"While this wine has both fine tannins and a steely, mineral structure, it also offers generous ripe berry fruits that give fresh acidity and a full-bodied feel. The wine is made to be drunk young and fruity, almost now, certainly by 2016.",Portuguese Red,Portugal,15.0,88
"Super-fruity, with a fantastic range of blackberry, cherry, currant, blueberry, chocolate and anise flavors. Could be firmer in structure, though, as the texture is overly soft and melted.",Meritage,US,75.0,86
"You could describe this wine as linear and elongated. Everything about it seems to suggest length and longevity including its well-chiseled aromas of graphite, charcoal mineral, tar, licorice and black currant. It offers ash and smoke in the mouth but is not flat or tired. In fact, it tastes succulent, austere and important.",Nebbiolo,Italy,45.0,90
"This wine's distinct and intriguing nose pairs cola and cinnamon with cranberry, chopped chaparral scrub and wildfire smoke. That scrubby character of green sage and mugwort extends to the palate, spicing up the beet juice, ripe raspberries and a pencil-lead backbone.",Pinot Noir,US,64.0,93
